"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","4860","
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","cases.more_accounts","Tue Sep 09 23:36:11 CST 2025","passed","Tue Sep 09 23:36:16 CST 2025","TestMoreAccounts","test_x","",""
"新增环境：不能有特殊字符","586","新增环境：不能有特殊字符","cases","Tue Sep 09 23:34:40 CST 2025","passed","Tue Sep 09 23:34:40 CST 2025","TestEnvList","test_env_list","",""
"新增项目：项目名称为空","642","新增项目：项目名称为空","cases","Tue Sep 09 23:35:10 CST 2025","passed","Tue Sep 09 23:35:10 CST 2025","TestProjectList","test_project_list","",""
"新增环境：不能有特殊字符","582","新增环境：不能有特殊字符","cases","Tue Sep 09 23:36:31 CST 2025","passed","Tue Sep 09 23:36:32 CST 2025","TestEnvList","test_env_list","",""
"表格行内编辑","4658","表格行内编辑","cases","Tue Sep 09 23:35:44 CST 2025","passed","Tue Sep 09 23:35:48 CST 2025","TestProjectList","test_project_list","",""
"登录失败场景","506","登录失败场景","cases","Tue Sep 09 23:34:58 CST 2025","passed","Tue Sep 09 23:34:58 CST 2025","TestLogin","test_login","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","149","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","Tue Sep 09 23:34:26 CST 2025","passed","Tue Sep 09 23:34:26 CST 2025","TestAddProject","test_add_project","",""
"登录正常流程， 获取异步ajax 请求","348","登录正常流程， 获取异步ajax 请求","cases","Tue Sep 09 23:35:05 CST 2025","passed","Tue Sep 09 23:35:06 CST 2025","TestLogin","test_login","",""
"登录正常流程","3240","登录正常流程","cases","Tue Sep 09 23:35:01 CST 2025","passed","Tue Sep 09 23:35:04 CST 2025","TestLogin","test_login","",""
"项目名称重复，弹出模态框","544","项目名称重复，弹出模态框","cases","Tue Sep 09 23:34:31 CST 2025","passed","Tue Sep 09 23:34:32 CST 2025","TestAddProject","test_add_project","",""
"添加模块-模块名称重复","201","添加模块-模块名称重复","cases","Tue Sep 09 23:34:16 CST 2025","passed","Tue Sep 09 23:34:16 CST 2025","TestAddModule","test_add_module","",""
"登录失败场景","484","登录失败场景","cases","Tue Sep 09 23:36:25 CST 2025","passed","Tue Sep 09 23:36:26 CST 2025","TestLogin","test_login","",""
"添加模块-项目名称不能为空","129","添加模块-项目名称不能为空","cases","Tue Sep 09 23:34:10 CST 2025","passed","Tue Sep 09 23:34:11 CST 2025","TestAddModule","test_add_module","",""
"新增环境：点取消按钮","945","新增环境：点取消按钮","cases","Tue Sep 09 23:34:46 CST 2025","passed","Tue Sep 09 23:34:47 CST 2025","TestEnvList","test_env_list","",""
"密码框6-16位","58","密码框6-16位","cases","Tue Sep 09 23:35:56 CST 2025","passed","Tue Sep 09 23:35:56 CST 2025","TestRegister","test_register","",""
"密码框不能有特殊字符","57","密码框不能有特殊字符","cases","Tue Sep 09 23:35:57 CST 2025","passed","Tue Sep 09 23:35:57 CST 2025","TestRegister","test_register","",""
"新增环境：不能有特殊字符","587","新增环境：不能有特殊字符","cases","Tue Sep 09 23:36:19 CST 2025","passed","Tue Sep 09 23:36:20 CST 2025","TestEnvList","test_env_list","",""
"异常场景-项目名称不能为空","183","异常场景-项目名称不能为空","cases","Tue Sep 09 23:34:28 CST 2025","passed","Tue Sep 09 23:34:28 CST 2025","TestAddProject","test_add_project","",""
"新增环境：环境地址必须以http:或 https:开头","967","新增环境：环境地址必须以http:或 https:开头","cases","Tue Sep 09 23:36:33 CST 2025","passed","Tue Sep 09 23:36:34 CST 2025","TestEnvList","test_env_list","",""
